Kompetenzelement,Frage,Antwortmöglichkeit,Ergänzende Informationen
04.03.04 Macht und Interessen,"Warum sollte der Einzelne die informellen Kanäle und persönlichen Beziehungen im Unternehmen berücksichtigen? 
a) Um Potenziale hinsichtlich der Projektdurchführung erkennen zu können 
b) Die Einflussnahme auf Entscheidungen durch persönliche Beziehungen ist eine gängige Vorgehensweise 
c) Um die Projektziele anzupassen. 
d) Projektrisiken können durch diese Vorgehensweise minimiert werden. ",a) Um Potenziale hinsichtlich der Projektdurchführung erkennen zu können ,"Warum sollte der Einzelne die informellen Kanäle und persönlichen Beziehungen im Unternehmen berücksichtigen? 
a) Um Potenziale hinsichtlich der Projektdurchführung erkennen zu können 
b) Die Einflussnahme auf Entscheidungen durch persönliche Beziehungen ist eine gängige Vorgehensweise 
c) Um die Projektziele anzupassen. 
d) Projektrisiken können durch diese Vorgehensweise minimiert werden. "
04.03.04 Macht und Interessen,"Welches Interesse kann einem unternehmensexternen Stakeholder zugeordnet werden?
a) kompetente und rasche Projektinformation 
b) monatliche Information über den Projektfortschritt 
c) einfache Handhabung der Internetseite des Projekts 
d) Reduktion der laufenden Betriebskosten beim Lieferanten ",a) kompetente und rasche Projektinformation ,"Welches Interesse kann einem unternehmensexternen Stakeholder zugeordnet werden?
a) kompetente und rasche Projektinformation 
b) monatliche Information über den Projektfortschritt 
c) einfache Handhabung der Internetseite des Projekts 
d) Reduktion der laufenden Betriebskosten beim Lieferanten "
04.03.04 Macht und Interessen,"Ein Projekt hat die Verlegung einer Überlandstromleitung von Norddeutschland nach Süddeutschland zum Ziel. Benennen sie drei 3 Stakeholder, die einen berechtigten Einfluss auf das Projekt nehmen können  ","1.Bundesnetzagentur (BNetzA): Als Regulierungsbehörde genehmigt sie Planfeststellungen und überwacht den Netzausbau gemäß NABEG.​
2.Übertragungsnetzbetreiber (z. B. Tennet, Amprion): Sie planen und bauen die Leitung als Projektträger aus.​
3.Betroffene Anwohner und Umweltverbände: Sie haben Einfluss durch Beteiligungsrechte, Klagen und Akzeptanzfragen zu Trassenverläufen.​
4. Gemeinden,  Komunnen, Ministerien ","Ein Projekt hat die Verlegung einer Überlandstromleitung von Norddeutschland nach Süddeutschland zum Ziel. Benennen sie drei 3 Stakeholder, die einen berechtigten Einfluss auf das Projekt nehmen können  "
04.03.04 Macht und Interessen,In welcher Analyse werden Macht und und Interessen der am Projekt beteiligten Personen identifiziert?,"Stakeholder Analyse (Kraftfeldanalyse, Stakeholdermatrix) - Seite 55: Ziel der Kraftfeldanalyse ist die Darstellung der Wirkungsweise der Stakeholder in Abhängigkeit
von deren Macht/Einfluss und Wirkung auf das Projekt, welche hemmend bzw. unterstützend
sein kann. ""Sie kann zusätzlich
zur Stakeholderanalyse eingesetzt werden.""",In welcher Analyse werden Macht und und Interessen der am Projekt beteiligten Personen identifiziert?
04.03.04 Macht und Interessen,Stakeholder haben persönliche Ambitionen und Interessen und versuchen diese durchzusetzen. Welche Vorgehensweise und Eigenschaften (nicht Begegnungsstrategien) sind hilfreich für den Umgang mit Erwartungen und Interessen der Stakeholder aus der Sicht des Projektleiters? Nennen Sie drei (3) Vorgehensweisen oder Eigenschaften.,"1. Empathie zeigen:  Verstehen der persönlichen Interessen und Anliegen der Stakeholder, 
2.Konfliktmanagement anwenden: Sachlich mit Spannungen umgehen und Lösungen anbieten, 
3. Klare Kommunikation: Erwartungen und Projektziele transparent darstellen, um Missverständnisse zu vermeiden.",Stakeholder haben persönliche Ambitionen und Interessen und versuchen diese durchzusetzen. Welche Vorgehensweise und Eigenschaften (nicht Begegnungsstrategien) sind hilfreich für den Umgang mit Erwartungen und Interessen der Stakeholder aus der Sicht des Projektleiters? Nennen Sie drei (3) Vorgehensweisen oder Eigenschaften.
04.03.04 Macht und Interessen,"Warum sollte der Einzelne die informellen Kanäle und persönlichen Beziehungen im Unternehmen berücksichtigen? 
a) Um Potenziale hinsichtlich der Projektdurchführung erkennen zu können 
b) Die Einflussnahme auf Entscheidungen durch persönliche Beziehungen ist eine gängige Vorgehensweise 
c) Um die Projektziele anzupassen. 
d) Projektrisiken können durch diese Vorgehensweise minimiert werden. ",a) Um Potenziale hinsichtlich der Projektdurchführung erkennen zu können ,"Warum sollte der Einzelne die informellen Kanäle und persönlichen Beziehungen im Unternehmen berücksichtigen? 
a) Um Potenziale hinsichtlich der Projektdurchführung erkennen zu können 
b) Die Einflussnahme auf Entscheidungen durch persönliche Beziehungen ist eine gängige Vorgehensweise 
c) Um die Projektziele anzupassen. 
d) Projektrisiken können durch diese Vorgehensweise minimiert werden. "
04.03.04 Macht und Interessen,"Welches Interesse kann einem unternehmensexternen Stakeholder zugeordnet werden?
a) kompetente und rasche Projektinformation 
b) monatliche Information über den Projektfortschritt 
c) einfache Handhabung der Internetseite des Projekts 
d) Reduktion der laufenden Betriebskosten beim Lieferanten ",a) kompetente und rasche Projektinformation ,"Welches Interesse kann einem unternehmensexternen Stakeholder zugeordnet werden?
a) kompetente und rasche Projektinformation 
b) monatliche Information über den Projektfortschritt 
c) einfache Handhabung der Internetseite des Projekts 
d) Reduktion der laufenden Betriebskosten beim Lieferanten "
04.04.03 Persönliche Kommunikation,"Beschreiben Sie zwei (2) Techniken, die eine offene Kommunikation fördern.","- Partner/in aussprechen lassen
- Gesagtes aufgreifen
- offene Körperhaltung
- angemessener Blickkontakt
- aktives Zuhören
- Offene Fragen
",
04.04.03 Persönliche Kommunikation,Erkläre das 4-Ohren-Prinzip!,"Das 4-Ohren-Prinzip von Friedemann Schulz von Thun besagt, dass jede Nachricht vier Ebenen hat:
1.Sachinhalt (Fakten)
2.Selbstoffenbarung (was der Sender über sich preisgibt)
3.Beziehung (wie der Sender zum Empfänger steht)
4.Appell (was der Sender erreichen will).
Jede Nachricht enthält 4 Botschaften gleichzeitig. Empfänger können auf einer oder mehreren Ebenen empfangen und interpretieren, was zu Missverständnissen führen kann.",
04.04.03 Persönliche Kommunikation,"Erklären Sie den Begriff ""asynchrone Kommunikation"" ","Asynchrone Kommunikation erfolgt zeitversetzt, ohne gleichzeitige Präsenz der Beteiligten (z. B. E-Mail, Chat-Nachrichten). Sie ermöglicht flexible, reflektierte Interaktionen, ideal für verteilte Teams im Projektmanagement.",
04.04.03 Persönliche Kommunikation,Erläutern Sie die Bedeutung aller geschlossenen und einer offenen Frage. ,"Geschlossene Fragen
Fordern präzise, begrenzte Antworten (z. B. Ja/Nein, Multiple Choice) und eignen sich zur schnellen Faktenabfrage, Bestätigung oder quantitativen Auswertung. Sie lenken Gespräche und minimieren Interpretationsspielraum.​
Offene Frage
Ermöglichen freie, detaillierte Antworten (z. B. W-Fragen: Warum? Wie?) und dienen der Erkundung von Meinungen, Motiven oder neuen Ideen. Sie fördern Dialog und tiefere Einblicke.",
04.04.03 Persönliche Kommunikation,Nenne 2 Agendapunkte eines Projektmeetings!,"Statusupdate: Überblick über den aktuellen Projektfortschritt, erledigte Aufgaben, offene Punkte und Meilensteine.
Risikobewertung: Identifikation neuer Risiken und Diskussion von Maßnahmen zur Risikominderung.
Aufgabenverteilung: Klärung von Verantwortlichkeiten und Deadlines.
Nächste Schritte: Planung und Festlegung der weiteren Vorgehensweise.",
04.04.03 Persönliche Kommunikation,Nenne 2 Moderationsarten,"Brainwriting: Teilnehmer schreiben Ideen still auf, bevor sie in der Gruppe diskutiert werden.
Metaplan-Technik: Ideen werden auf Karten gesammelt, geordnet und visualisiert.
World Café: Diskussionsrunden in Kleingruppen mit wechselnden Teilnehmern.
Blitzlicht: Jeder äußert kurz seine Meinung oder Ideen nacheinander.
Fishbowl: Kleine Gruppe diskutiert im Kreis, andere beobachten und greifen bei Bedarf ein.
/
Entscheidungsmoderation
Konfliktmoderation
Informationsmoderation
Meinungsbildungsmoderation
Kreativitätsmoderation
Problemlösungsmoderation
Maßnahmen-/Umsetzungsmoderation
Erfahrungs-/Reflexionsmoderation","Im Projektmanagement spricht man nicht typischerweise von „direkter“ und „indirekter Moderation“ als festen Moderationsarten. Vielmehr sind dies eher Unterscheidungen im Führungs‑ bzw. Kommunikationsstil, nicht etablierte Fachbegriffe der Moderationslehre.
Wie sind „direkte“ und „indirekte“ Moderation gemeint?
	•	Direkte Moderation: Der Moderator führt offen, klar strukturierend, gibt Rahmen, Ziele und Regeln vor, moderiert aktiv Schritte und Ergebnisse (z. B. Agenda‑Führung, klare Zeitsteuerung, klare Rollen im Projektmeeting).
	•	Indirekte Moderation: Der Moderator wirkt eher zurückhaltend, lenkt Prozesse durch Atmosphäre, indirekte Impulse oder Fragen, ohne formal zu „steuern“ (z. B. implizite Steuerung über Fragetechnik, Setting, Sozial‑/Gruppendynamik).
Was ist im Projektmanagement korrekt?
Im Projektmanagement sind Methoden und Techniken der Moderation (z. B. Leitfaden, Agenda‑Moderation, Visualisierung, Bewusstwerden, Feedbackrunden) relevant, nicht „direkte/indirekte Moderation“ als offizielle Kategorien.Korrekt wäre also:
	•	Einen moderativen Führungsstil (aktiv‑direkt vs. zurückhaltend‑indirekt) zu beschreiben,
	•	aber nicht zu sagen, es gäbe im Projektmanagement zwei offizielle „Moderationsarten“ namens „direkte“ und „indirekte Moderation“."
04.04.03 Persönliche Kommunikation,Nenne mindestens 4 der 7 W-Fragen?,"Wer? (Frage nach Personen/Beteiligten)
Was? (Frage nach dem Geschehen/Inhalt)
Wo? (Frage nach dem Ort)
Wann? (Frage nach dem Zeitpunkt)
Wie? (Frage nach der Art und Weise)
Warum? (Frage nach dem Grund)
Woher? (Frage nach der Informationsquelle)",
04.04.03 Persönliche Kommunikation,"Nennen sie 3 Besprechungsarten 
","a) Diskussion
b) Dialog
c) Verhandlung
d) Retrospektive 
e) Daily scrum / Stand up Meeting",
04.04.03 Persönliche Kommunikation,Nennen Sie Beispiele für offene und geschlossene Fragen!,"Offene Fragen:
Was sind Ihre Gedanken zu diesem Thema?
Wie haben Sie Ihren letzten Urlaub verbracht?
Welche Herausforderungen haben Sie in Ihrem Beruf erlebt?
Warum haben Sie sich für dieses Studium entschieden?
Wie würden Sie Ihre ideale Arbeitsumgebung beschreiben?

Geschlossene Fragen:
Haben Sie heute schon gefrühstückt?
War der Film, den Sie gestern gesehen haben, gut?
Sind Sie mit dem Ergebnis zufrieden?
Möchten Sie Kaffee oder Tee?
Haben Sie schon einmal in Berlin gelebt?",Fragetechniken
04.04.03 Persönliche Kommunikation,Nennen Sie die vier Ebenen des 4*Ohren Modells.,"Sachebene
Selbstoffenbarung
Appell
Beziehung
",
04.04.03 Persönliche Kommunikation,Nennen Sie drei (3) der fünf (5) Axiome von Paul Watzlawick.,"1. Man kann nicht nicht kommunizieren.: jede Handlung ist Kommunikation, auch Schweigen. 
2. Jede Kommunikation hat eine Inhalts- und Beziehungsaspekt: der Inhalt vermittelt die Infomation, die Beziehungsebene zeigt, wie die Botschaft zu verstehen ist. 
3. Kommunikation ist immer Ursache und Wirkung. jede Reaktion beeinflusst die nächste Handlung.","1) Basis der Interaktion – Man kann nicht nicht kommunizieren
2) Inhalts & Beziehungsaspekt – Jede Botschaft transportiert auch einen Beziehungs-Inhalt
3) Ursache & Wirkung – Interpunktion – Kommunikation dreht sich im Kreis.
4) Modalitäten digital & analog – Kommunikation ist verbal und non-verbal.
5) Beziehungsstrukturen – symmetrisch & komplementär. Kommunikation auf Augenhöhe oder Hirachie gebunden."
04.04.03 Persönliche Kommunikation,Nennen Sie drei (3) Kommunikationsgrundsätze für Web-Meetings.,"Netiquette:
Pünktlichkeit
Kamera an
Mikro aus, wenn nichts gesagt wird
Aktives Zuhören
Hand heben
Abwesenheit mit Notiz

Alternative:
Einhaltung der Netiquette; Teamfähigkeit der beteiligten Personen; ausreden lassen;  geklärte Rollen; klar definierte Ziele/ Aufgaben/ Ergebnisse; rechtzeitig vorab eine Agenda verschicken; gute technische Verbindungen
","Für die Zusammenarbeit virtueller Teams möchten wir einige Grundsätze der persönlichen Kommunikationsregeln nennen bzw. als Wiederholung (s. vorherige Kapitel) aufführen: • aktiv zuhören, • Unterschiede zwischen Wahrnehmen, Vermuten und Reagieren beachten, • verdeckte Kommunikation vermeiden, Transparenz schaffen, • Blickkontakt herstellen, beim Sprechen in die Kamera schauen, • in der Ich-Form sprechen, • Empfindungen und Beobachtungen statt Schuldzuweisungen äußern, • nicht verallgemeinern, • Ausschweifungen vermeiden, • klare Aussprache pflegen, • Gehörtes mit eigenen Worten bestätigen, • Feedback geben und nehmen (wenn vereinbart) • 50/10-Regel: Alle 50 Minuten wird eine Pause von 10 Minuten eingehalten. Das entspannt und gibt genügend Erholung und erneute Konzentrationsfähigkeit, um auch lange Meetings produktiv und mit Spaß durchzuführen."
04.04.03 Persönliche Kommunikation,Nennen Sie für die Kommunikationstheorie Schulz von Thun aus der Sichtweise des Senders die vier Seiten einer Nachricht anhand eines Beispiels. ,"Aussage: Du hast mich mit deinem Beitrag zur Präsentation super unterstützt!
•	Sachaspekt: Ich bekomme die volle Unterstützung im Projekt mit diesem Beitrag.
•	Beziehungsaspekt: Du bist ein wertvolles Teammitglied für mich.
•	Selbstaussage: Ich freue mich über deine Beteiligung.
•	Appell: Mach weiter so!

Aussage: Da vorne ist Grün.
Sach-Ohr: Die Ampel zeigt Grün, Selbstkunde Ohr: ich habe es eilig, BeziehungsOhr: Ich kontrolliere dich, Appell Ohr: Gib Gas!",
04.04.03 Persönliche Kommunikation,Nennen Sie vier (4) Seiten einer Nachricht nach Schulz von Thun.,"1.Sachinhalt (Fakten)
2.Selbstoffenbarung (was der Sender über sich preisgibt)
3.Beziehung (wie der Sender zum Empfänger steht)
4.Appell (was der Sender erreichen will).",
04.04.03 Persönliche Kommunikation,Nennen Sie zwei (2) Bestandteile einer Besprechung.,"Agenda: Klare Themen und Ziele der Besprechung.
Protokoll: Dokumentation der Ergebnisse und Beschlüsse.",
04.04.03 Persönliche Kommunikation,Nennen Sie zwei (2) Moderationstechniken.,"1. Brainstorming: Ideen sammeln und strukturieren. 2.Mind-Mapping: Visuelle Darstellung von Zusammenhängen und Themen.
Blitzlicht: Der Moderator stellt eine prägnante Frage, die von jedem Teilnehmer kurz beantwortet wird.
Ein-Punkt-Frage: Teilnehmer platzieren einen Klebepunkt auf einer vorbereiteten Skala, um ihre Einschätzung zu einer Frage abzugeben",
04.04.03 Persönliche Kommunikation,Was gehört zur offenen Kommunikation? Welche Techniken sollten eingesetzt werden? ,"Offene Kommunikation bedeutet den freien Austausch von Informationen, Gedanken und Gefühlen in einer Atmosphäre von Vertrauen und Transparenz.
Aktives Zuhören: Aufmerksam auf das Gesagte eingehen und Interesse zeigen.
Empathie: Verständnis für die Perspektiven anderer zeigen.
Klarheit: Eindeutige und präzise Botschaften formulieren.
Feedback: Konstruktiv geben und annehmen.",
04.04.03 Persönliche Kommunikation,Was sind die vier (4) Schritte des aktiven Zuhörens?,"1. Zuhören
2. Beobachten
3. Verstehen
4. Rückmelden
","a. Zuhören (Aufmerksam ohne Unterbrechung)
b. Beobachten (Non-verbale Signale wahrnehmen)
c. Verstehen (Tiefere Bedeutung erfassen)
d. Rückmelden (Paraphrasieren, zusammenfassen)"
04.04.03 Persönliche Kommunikation,Was sind Web-Meetings und wie werden diese durchgeführt?,"Web-Meetings sind zeitgleiche Online-Besprechungen, die mithilfe digitaler Kommunikationstechnologien durchgeführt werden. Sie erfordern klare Ziele, strukturierte Vorbereitung, aktive Moderation und dokumentierte Ergebnisse, da persönliche Interaktion eingeschränkt ist.","Es handelt sich um Besprechungen, die per Video-Call abgehalten werden. Ein Moderator (meist auch der Präsentierende) teilt seinen Bildschirm und leitet die Kommunikation. Teilnehmer sind per Bildübertragung zugeschaltet und schalten ihr Mikrofon für eigene Wortmeldungen vorübergehend aktiv."
04.04.03 Persönliche Kommunikation,Was versteht man unter asynchroner Kommunikation?,"Die Kommunikation ist zeitversetzt, z.B. per Brief, Fax oder e-mail. Synchrone Kommunikation findet zeitgleich statt, z.B. Gespräch von Angesicht zu Angesicht oder per Telefon.","Es handelt sich um Besprechungen, die per Video-Call abgehalten werden. Ein Moderator (meist auch der Präsentierende) teilt seinen Bildschirm und leitet die Kommunikation. Teilnehmer sind per Bildübertragung zugeschaltet und schalten ihr Mikrofon für eigene Wortmeldungen vorübergehend aktiv."
04.04.03 Persönliche Kommunikation,Was wird unter dem Eisbergmodell verstanden? Welche Auswirkungen hat das Modell auf Ihr Projekt?,"Etwa 20% der Kommunikation laufen über die Sachebene ab, sind sichtbar, 80% der Kommunkikation dagegen ""unsichtbar"" über die Gefühlsebene.
/
Nur 20% finden auf der Sachabene statt. Das Eisbergmodell beschreibt, dass Kommunikation zu einem großen Teil auf einer unsichtbaren Beziehungsebene stattfindet. 

Im Projektmanagement hilft es, Konflikte, Widerstände und Missverständnisse besser zu verstehen und durch gezielte Kommunikation Vertrauen, Zusammenarbeit und Projekterfolg zu fördern.",
04.04.03 Persönliche Kommunikation,Was wird unter verbaler und nonverbaler Kommunikation verstanden? Geben Sie jeweils ein Beispiel und beschreiben Sie die Bedeutung im Projekt .,"Verbale Kommunikation
Umfasst gesprochene oder geschriebene Worte zur Übermittlung von Inhalten und Fakten. Beispiel: „Das Projektmeeting startet um 14 Uhr.“ 
Bedeutung im Projekt: Ermöglicht klare Anweisungen, Status-Updates und Dokumentation, reduziert Missverständnisse.​

Nonverbale Kommunikation
Beinhaltet Mimik, Gestik, Körperhaltung und Blickkontakt zur Vermittlung von Emotionen und Einstellungen. Beispiel: Offene Armhaltung beim Präsentieren. 
Bedeutung im Projekt: Stärkt Glaubwürdigkeit, baut Vertrauen auf und ergänzt Worte – oft entscheidend für Teamdynamik und Stakeholder-Interaktionen.","Alternative :a. Verbale Kommunikation = Sprache und aktives Zuhören
Paraphrasieren: das Gesagte in eigenen Worten wiederholen, um das gegenseitige Verständnis sicherzustellen,
b. Nonverbale Kommunikation = Gestik, Mimik, Körperhaltung
Blickkontakt: stellt Präsenz her (kann kulturell bedingt schwierig sein)
bestätigende Gestik: Stärkung der Beziehungsebene und Unterstützung der Botschaft
Rolle im Projekt: In einem Projekt schafft gute Kommunikation eine vertrauensvolle Atmosphäre, reduziert Missverständnisse und stärkt die Zusammenarbeit.
Die nonverbale Kommunikation kann die verbale Kommunikation ergänzen oder ihr widersprechen."
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. 
Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. 
Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",
04.04.03 Persönliche Kommunikation,Worauf soll man achten beim Online-Meeting?,"Einhaltung der Netiquete, gute technische Verbindungen, einen Raum mit ruhiger Athmosphäre, gut in der Kamera sichtbar sein, Mikrofon nur aktiv schalten, wenn man etwas sagen will; ansonsten gleiche Punkte wie bei jedem Meeting: rechtzeitig vorab eine Agenda verschicken, klar definierte Ziele/ Aufgaben/ Ergebnissen des Meetings, geklärte Rollen (Moderator, Protokollant, Zeitnehmer) u.a.m.
","Beim Online-Meeting sollte man auf klare Struktur, Technik, Redezeiten, Kameranutzung, Ruhe und Datenschutz achten. Wichtig ist auch, dass Wortmeldungen eindeutig gemacht werden und Störungen möglichst gering bleiben."
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",
04.04.03 Persönliche Kommunikation,"Beschreiben Sie zwei (2) Techniken, die eine offene Kommunikation fördern.","- Partner/in aussprechen lassen
- Gesagtes aufgreifen
- offene Körperhaltung
- angemessener Blickkontakt
- aktives Zuhören
- Offene Fragen
","Beschreiben Sie zwei (2) Techniken, die eine offene Kommunikation fördern."
04.04.03 Persönliche Kommunikation,Erkläre das 4-Ohren-Prinzip!,"Das 4-Ohren-Prinzip von Friedemann Schulz von Thun besagt, dass jede Nachricht vier Ebenen hat:
1.Sachinhalt (Fakten)
2.Selbstoffenbarung (was der Sender über sich preisgibt)
3.Beziehung (wie der Sender zum Empfänger steht)
4.Appell (was der Sender erreichen will).
Jede Nachricht enthält 4 Botschaften gleichzeitig. Empfänger können auf einer oder mehreren Ebenen empfangen und interpretieren, was zu Missverständnissen führen kann.",Erkläre das 4-Ohren-Prinzip!
04.04.03 Persönliche Kommunikation,"Erklären Sie den Begriff ""asynchrone Kommunikation"" ","Asynchrone Kommunikation erfolgt zeitversetzt, ohne gleichzeitige Präsenz der Beteiligten (z. B. E-Mail, Chat-Nachrichten). Sie ermöglicht flexible, reflektierte Interaktionen, ideal für verteilte Teams im Projektmanagement.","Erklären Sie den Begriff ""asynchrone Kommunikation"" "
04.04.03 Persönliche Kommunikation,Erläutern Sie die Bedeutung aller geschlossenen und einer offenen Frage. ,"Geschlossene Fragen
Fordern präzise, begrenzte Antworten (z. B. Ja/Nein, Multiple Choice) und eignen sich zur schnellen Faktenabfrage, Bestätigung oder quantitativen Auswertung. Sie lenken Gespräche und minimieren Interpretationsspielraum.​
Offene Frage
Ermöglichen freie, detaillierte Antworten (z. B. W-Fragen: Warum? Wie?) und dienen der Erkundung von Meinungen, Motiven oder neuen Ideen. Sie fördern Dialog und tiefere Einblicke.",Erläutern Sie die Bedeutung aller geschlossenen und einer offenen Frage. 
04.04.03 Persönliche Kommunikation,Nenne 2 Agendapunkte eines Projektmeetings!,"Statusupdate: Überblick über den aktuellen Projektfortschritt, erledigte Aufgaben, offene Punkte und Meilensteine.
Risikobewertung: Identifikation neuer Risiken und Diskussion von Maßnahmen zur Risikominderung.
Aufgabenverteilung: Klärung von Verantwortlichkeiten und Deadlines.
Nächste Schritte: Planung und Festlegung der weiteren Vorgehensweise.",Nenne 2 Agendapunkte eines Projektmeetings!
04.04.03 Persönliche Kommunikation,Nenne 2 Moderationsarten,"Brainwriting: Teilnehmer schreiben Ideen still auf, bevor sie in der Gruppe diskutiert werden.
Metaplan-Technik: Ideen werden auf Karten gesammelt, geordnet und visualisiert.
World Café: Diskussionsrunden in Kleingruppen mit wechselnden Teilnehmern.
Blitzlicht: Jeder äußert kurz seine Meinung oder Ideen nacheinander.
Fishbowl: Kleine Gruppe diskutiert im Kreis, andere beobachten und greifen bei Bedarf ein.
/
Entscheidungsmoderation
Konfliktmoderation
Informationsmoderation
Meinungsbildungsmoderation
Kreativitätsmoderation
Problemlösungsmoderation
Maßnahmen-/Umsetzungsmoderation
Erfahrungs-/Reflexionsmoderation",Nenne 2 Moderationsarten
04.04.03 Persönliche Kommunikation,Nenne mindestens 4 der 7 W-Fragen?,"Wer? (Frage nach Personen/Beteiligten)
Was? (Frage nach dem Geschehen/Inhalt)
Wo? (Frage nach dem Ort)
Wann? (Frage nach dem Zeitpunkt)
Wie? (Frage nach der Art und Weise)
Warum? (Frage nach dem Grund)
Woher? (Frage nach der Informationsquelle)",Nenne mindestens 4 der 7 W-Fragen?
04.04.03 Persönliche Kommunikation,"Nennen sie 3 Besprechungsarten 
","a) Diskussion
b) Dialog
c) Verhandlung
d) Retrospektive 
e) Daily scrum / Stand up Meeting","Nennen sie 3 Besprechungsarten 
"
04.04.03 Persönliche Kommunikation,Nennen Sie Beispiele für offene und geschlossene Fragen!,"Offene Fragen:
Was sind Ihre Gedanken zu diesem Thema?
Wie haben Sie Ihren letzten Urlaub verbracht?
Welche Herausforderungen haben Sie in Ihrem Beruf erlebt?
Warum haben Sie sich für dieses Studium entschieden?
Wie würden Sie Ihre ideale Arbeitsumgebung beschreiben?

Geschlossene Fragen:
Haben Sie heute schon gefrühstückt?
War der Film, den Sie gestern gesehen haben, gut?
Sind Sie mit dem Ergebnis zufrieden?
Möchten Sie Kaffee oder Tee?
Haben Sie schon einmal in Berlin gelebt?",Nennen Sie Beispiele für offene und geschlossene Fragen!
04.04.03 Persönliche Kommunikation,Nennen Sie die vier Ebenen des 4*Ohren Modells.,"Sachebene
Selbstoffenbarung
Appell
Beziehung
",Nennen Sie die vier Ebenen des 4*Ohren Modells.
04.04.03 Persönliche Kommunikation,Nennen Sie drei (3) der fünf (5) Axiome von Paul Watzlawick.,"1. Man kann nicht nicht kommunizieren.: jede Handlung ist Kommunikation, auch Schweigen. 
2. Jede Kommunikation hat eine Inhalts- und Beziehungsaspekt: der Inhalt vermittelt die Infomation, die Beziehungsebene zeigt, wie die Botschaft zu verstehen ist. 
3. Kommunikation ist immer Ursache und Wirkung. jede Reaktion beeinflusst die nächste Handlung.",Nennen Sie drei (3) der fünf (5) Axiome von Paul Watzlawick.
04.04.03 Persönliche Kommunikation,Nennen Sie drei (3) Kommunikationsgrundsätze für Web-Meetings.,"Netiquette:
Pünktlichkeit
Kamera an
Mikro aus, wenn nichts gesagt wird
Aktives Zuhören
Hand heben
Abwesenheit mit Notiz

Alternative:
Einhaltung der Netiquette; Teamfähigkeit der beteiligten Personen; ausreden lassen;  geklärte Rollen; klar definierte Ziele/ Aufgaben/ Ergebnisse; rechtzeitig vorab eine Agenda verschicken; gute technische Verbindungen
",Nennen Sie drei (3) Kommunikationsgrundsätze für Web-Meetings.
04.04.03 Persönliche Kommunikation,Nennen Sie für die Kommunikationstheorie Schulz von Thun aus der Sichtweise des Senders die vier Seiten einer Nachricht anhand eines Beispiels. ,"Aussage: Du hast mich mit deinem Beitrag zur Präsentation super unterstützt!
•	Sachaspekt: Ich bekomme die volle Unterstützung im Projekt mit diesem Beitrag.
•	Beziehungsaspekt: Du bist ein wertvolles Teammitglied für mich.
•	Selbstaussage: Ich freue mich über deine Beteiligung.
•	Appell: Mach weiter so!

Aussage: Da vorne ist Grün.
Sach-Ohr: Die Ampel zeigt Grün, Selbstkunde Ohr: ich habe es eilig, BeziehungsOhr: Ich kontrolliere dich, Appell Ohr: Gib Gas!",Nennen Sie für die Kommunikationstheorie Schulz von Thun aus der Sichtweise des Senders die vier Seiten einer Nachricht anhand eines Beispiels. 
04.04.03 Persönliche Kommunikation,Nennen Sie vier (4) Seiten einer Nachricht nach Schulz von Thun.,"1.Sachinhalt (Fakten)
2.Selbstoffenbarung (was der Sender über sich preisgibt)
3.Beziehung (wie der Sender zum Empfänger steht)
4.Appell (was der Sender erreichen will).",Nennen Sie vier (4) Seiten einer Nachricht nach Schulz von Thun.
04.04.03 Persönliche Kommunikation,Nennen Sie zwei (2) Bestandteile einer Besprechung.,"Agenda: Klare Themen und Ziele der Besprechung.
Protokoll: Dokumentation der Ergebnisse und Beschlüsse.",Nennen Sie zwei (2) Bestandteile einer Besprechung.
04.04.03 Persönliche Kommunikation,Nennen Sie zwei (2) Moderationstechniken.,"1. Brainstorming: Ideen sammeln und strukturieren. 2.Mind-Mapping: Visuelle Darstellung von Zusammenhängen und Themen.
Blitzlicht: Der Moderator stellt eine prägnante Frage, die von jedem Teilnehmer kurz beantwortet wird.
Ein-Punkt-Frage: Teilnehmer platzieren einen Klebepunkt auf einer vorbereiteten Skala, um ihre Einschätzung zu einer Frage abzugeben",Nennen Sie zwei (2) Moderationstechniken.
